TAXON
"Persicaria maculosa Gray, 1821"
"Persicaria minor (Huds.) Opiz, 1852"
"Persicaria mitis (Schrank) Assenov, 1966"
"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb., 1801"
"Petrorhagia prolifera (L.) P.W.Ball & Heywood, 1964"
"Peucedanum gallicum Latourr., 1785"
"Phalaris arundinacea L., 1753"
"Phalaris arundinacea subsp. arundinacea L., 1753"
"Phelipanche arenaria (Borkh.) Pomel, 1874"
"Phelipanche purpurea (Jacq.) Soják, 1972"
"Phelipanche purpurea subsp. purpurea (Jacq.) Soják, 1972"
"Phleum nodosum L., 1759"
"Phleum phleoides (L.) H.Karst., 1880"
"Phleum pratense L., 1753"
"Phragmites australis (Cav.) Trin. ex Steud., 1840"
"Physalis alkekengi L., 1753"
"Physalis alkekengi var. alkekengi L., 1753"
"Phyteuma orbiculare L., 1753"
"Phyteuma orbiculare subsp. tenerum (R.Schulz) Braun-Blanq., 1933"
"Phyteuma spicatum L., 1753"
"Phytolacca americana L., 1753"
"Picris hieracioides L., 1753"
"Picris hieracioides subsp. hieracioides L., 1753"
"Pilosella caespitosa (Dumort.) P.D.Sell & C.West, 1967"
"Pilosella lactucella (Wallr.) P.D.Sell & C.West, 1967"
"Pilosella lactucella subsp. lactucella (Wallr.) P.D.Sell & C.West, 1967"
"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862"
"Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip., 1862"
"Pilosella piloselloides (Vill.) Soják, 1971"
"Pilosella piloselloides subsp. bauhinii (Schult.) S.Bräut. & Greuter, 2007"
"Pilularia globulifera L., 1753"
"Pimpinella major (L.) Huds., 1762"
"Pimpinella saxifraga L., 1753"
"Pimpinella saxifraga subsp. saxifraga L., 1753"
"Pinguicula vulgaris L., 1753"
"Pinus sylvestris L., 1753"
"Plantago arenaria Waldst. & Kit., 1802"
"Plantago coronopus L., 1753"
"Plantago coronopus subsp. coronopus L., 1753"
"Plantago lanceolata L., 1753"
"Plantago major L., 1753"
"Plantago major subsp. major L., 1753"
"Plantago major subsp. pleiosperma Pilg., 1937"
"Plantago media L., 1753"
"Plantago media subsp. media L., 1753"
"Platanthera bifolia (L.) Rich., 1817"
"Platanthera chlorantha (Custer) Rchb., 1828"
"Poa annua L., 1753"
"Poa annua subsp. annua L., 1753"
"Poa bulbosa L., 1753"
"Poa bulbosa subsp. bulbosa L., 1753"
"Poa chaixii Vill., 1786"
"Poa compressa L., 1753"
"Poa infirma Kunth, 1816"
"Poa nemoralis L., 1753"
"Poa nemoralis subsp. nemoralis L., 1753"
"Poa palustris L., 1759"
"Poa pratensis L., 1753"
"Poa trivialis L., 1753"
"Poa trivialis subsp. trivialis L., 1753"
"Podospermum laciniatum (L.) DC., 1805"
"Polycarpon tetraphyllum (L.) L., 1759"
"Polycarpon tetraphyllum subsp. tetraphyllum (L.) L., 1759"
"Polycnemum arvense L., 1753"
"Polycnemum majus A.Braun, 1841"
"Polygala amarella Crantz, 1769"
"Polygala calcarea F.W.Schultz, 1837"
"Polygala comosa Schkuhr, 1796"
"Polygala serpyllifolia Hose, 1797"
"Polygala vulgaris L., 1753"
"Polygala vulgaris subsp. vulgaris L., 1753"
"Polygonatum multiflorum (L.) All., 1785"
"Polygonatum odoratum (Mill.) Druce, 1906"
"Polygonum aviculare L., 1753"
"Polygonum aviculare subsp. aviculare L., 1753"
"Polygonum aviculare subsp. depressum (Meisn.) Arcang., 1882"
"Polygonum aviculare subsp. rurivagum (Jord. ex Boreau) Berher, 1887"
"Polygonum bellardii All., 1785"
"Polypodium cambricum L., 1753"
"Polypodium interjectum Shivas, 1961"
"Polypodium vulgare L., 1753"
"Polypogon monspeliensis (L.) Desf., 1798"
"Polypogon viridis (Gouan) Breistr., 1966"
"Polystichum aculeatum (L.) Roth, 1799"
"Polystichum setiferum (Forssk.) T.Moore ex Woyn., 1913"
"Polystichum x bicknellii (Christ) Hahne, 1905"
"Populus alba L., 1753"
"Populus nigra L., 1753"
"Populus tremula L., 1753"
"Populus x canescens (Aiton) Sm., 1804"
"Portulaca granulatostellulata (Poelln.) Ricceri & Arrigoni, 2000"
"Portulaca oleracea L., 1753"
"Potamogeton acutifolius Link, 1818"
"Potamogeton berchtoldii Fieber, 1838"
"Potamogeton coloratus Hornem., 1813"
"Potamogeton crispus L., 1753"
"Potamogeton fluitans Roth, 1788"
"Potamogeton friesii Rupr., 1845"
"Potamogeton gramineus L., 1753"
"Potamogeton lucens L., 1753"
"Potamogeton natans L., 1753"
"Potamogeton nodosus Poir., 1816"
"Potamogeton obtusifolius Mert. & W.D.J.Koch, 1823"
Potamogeton pectinatus L.
"Potamogeton perfoliatus L., 1753"
"Potamogeton polygonifolius Pourr., 1788"
"Potamogeton pusillus L., 1753"
"Potamogeton trichoides Cham. & Schltdl., 1827"
"Potamogeton x zizii W.D.J.Koch ex Roth, 1827"
"Potentilla anglica Laichard., 1790"
"Potentilla anglica subsp. anglica Laichard., 1790"
"Potentilla erecta (L.) Raeusch., 1797"
"Potentilla indica (Andrews) Th.Wolf, 1904"
"Potentilla montana Brot., 1804"
"Potentilla neglecta Baumg., 1816"
"Potentilla recta L., 1753"
"Potentilla reptans L., 1753"
"Potentilla sterilis (L.) Garcke, 1856"
"Potentilla supina L., 1753"
"Potentilla supina subsp. supina L., 1753"
"Potentilla verna L., 1753"
"Poterium sanguisorba L., 1753"
"Poterium sanguisorba subsp. balearica (Bourg. ex Nyman) Stace, 2009"
"Poterium sanguisorba subsp. sanguisorba L., 1753"
"Primula elatior (L.) Hill, 1765"
"Primula elatior subsp. elatior (L.) Hill, 1765"
"Primula veris L., 1753"
"Primula veris var. veris L., 1753"
"Primula vulgaris Huds., 1762"
"Primula vulgaris subsp. vulgaris Huds., 1762"
"Prospero autumnale (L.) Speta, 1982"
"Prunella grandiflora (L.) Scholler, 1775"
"Prunella laciniata (L.) L., 1763"
"Prunella vulgaris L., 1753"
"Prunus avium (L.) L., 1755"
"Prunus laurocerasus L., 1753"
"Prunus mahaleb L., 1753"
"Prunus padus L., 1753"
"Prunus serotina Ehrh., 1784"
"Prunus spinosa L., 1753"
"Prunus x fruticans Weihe, 1826"
"Pseudofumaria lutea (L.) Borkh., 1797"
"Pteridium aquilinum (L.) Kuhn, 1879"
"Pulicaria dysenterica (L.) Bernh., 1800"
"Pulicaria vulgaris Gaertn., 1791"
"Pulmonaria longifolia (Bastard) Boreau, 1857"
"Pulmonaria longifolia subsp. longifolia (Bastard) Boreau, 1857"
"Pyrola chlorantha Sw., 1810"
"Pyrola minor L., 1753"
"Pyrola rotundifolia L., 1753"
"Pyrola rotundifolia var. rotundifolia L., 1753"
"Pyrus communis L., 1753"
"Pyrus communis subsp. pyraster (L.) Ehrh., 1780"
"Quercus petraea Liebl., 1784"
"Quercus petraea subsp. petraea Liebl., 1784"
"Quercus pubescens Willd., 1805"
"Quercus pyrenaica Willd., 1805"
"Quercus robur L., 1753"
"Radiola linoides Roth, 1788"
"Ranunculus acris L., 1753"
"Ranunculus acris subsp. acris L., 1753"
"Ranunculus acris subsp. friesianus (Jord.) Syme, 1863"
"Ranunculus aquatilis L., 1753"
"Ranunculus arvensis L., 1753"
"Ranunculus auricomus L., 1753"
"Ranunculus bulbosus L., 1753"
"Ranunculus circinatus Sibth., 1794"
"Ranunculus flammula L., 1753"
"Ranunculus flammula var. flammula L., 1753"
"Ranunculus fluitans Lam., 1779"
"Ranunculus gramineus L., 1753"
"Ranunculus hederaceus L., 1753"
"Ranunculus lingua L., 1753"
"Ranunculus nodiflorus L., 1753"
"Ranunculus ololeucos J.Lloyd, 1844"
"Ranunculus paludosus Poir., 1789"
"Ranunculus parviflorus L., 1758"
"Ranunculus parviflorus subsp. parviflorus L., 1758"
"Ranunculus peltatus Schrank, 1789"
"Ranunculus peltatus subsp. peltatus Schrank, 1789"
"Ranunculus penicillatus (Dumort.) Bab., 1874"
"Ranunculus penicillatus subsp. penicillatus (Dumort.) Bab., 1874"
"Ranunculus polyanthemoides Boreau, 1857"
"Ranunculus repens L., 1753"
"Ranunculus sardous Crantz, 1763"
"Ranunculus sceleratus L., 1753"
"Ranunculus sceleratus subsp. sceleratus L., 1753"
"Ranunculus serpens Schrank, 1789"
"Ranunculus trichophyllus Chaix, 1785"
"Ranunculus trichophyllus subsp. trichophyllus Chaix, 1785"
"Ranunculus tripartitus DC., 1807"
"Raphanus raphanistrum L., 1753"
"Raphanus raphanistrum subsp. raphanistrum L., 1753"
"Rapistrum rugosum (L.) All., 1785"
"Rapistrum rugosum subsp. orientale (L.) Arcang., 1882"
"Rapistrum rugosum subsp. rugosum (L.) All., 1785"
"Reseda alba L., 1753"
"Reseda alba subsp. alba L., 1753"
"Reseda lutea L., 1753"
"Reseda lutea subsp. lutea L., 1753"
"Reseda luteola L., 1753"
"Reseda phyteuma L., 1753"
"Reynoutria japonica Houtt., 1777"
"Reynoutria sachalinensis (F.Schmidt) Nakai, 1922"
"Reynoutria x bohemica Chrtek & Chrtková, 1983"
"Rhamnus alaternus L., 1753"
"Rhamnus alaternus subsp. alaternus L., 1753"
"Rhamnus cathartica L., 1753"
"Rhinanthus alectorolophus (Scop.) Pollich, 1777"
"Rhinanthus minor L., 1756"
"Rhododendron ponticum L., 1762"
"Rhododendron ponticum subsp. baeticum (Boiss. & Reut.) Hand.-Mazz., 1909"
"Rhynchospora alba (L.) Vahl, 1805"
"Rhynchospora fusca (L.) W.T.Aiton, 1810"
"Ribes alpinum L., 1753"
"Ribes nigrum L., 1753"
"Ribes rubrum L., 1753"
"Ribes uva-crispa L., 1753"
"Robinia pseudoacacia L., 1753"
"Rorippa amphibia (L.) Besser, 1821"
"Rorippa austriaca (Crantz) Besser, 1821"
"Rorippa palustris (L.) Besser, 1821"
"Rorippa pyrenaica (All.) Rchb., 1838"
"Rorippa sylvestris (L.) Besser, 1821"
"Rorippa x anceps (Wahlenb.) Rchb., 1837"
"Rosa agrestis Savi, 1798"
"Rosa arvensis Huds., 1762"
"Rosa canina L., 1753"
"Rosa micrantha Borrer ex Sm., 1812"
"Rosa rubiginosa L., 1771"
"Rosa spinosissima L., 1753"
"Rosa spinosissima subsp. spinosissima L., 1753"
"Rosa stylosa Desv., 1809"
"Rosa tomentosa Sm., 1800"
"Rostraria cristata (L.) Tzvelev, 1971"
"Rubia peregrina L., 1753"
"Rubia peregrina subsp. peregrina L., 1753"
"Rubus caesius L., 1753"
"Rubus canescens DC., 1813"
"Rubus fruticosus L., 1753"
"Rubus idaeus L., 1753"
"Rubus idaeus subsp. idaeus L., 1753"
"Rubus ulmifolius Schott, 1818"
"Rumex acetosa L., 1753"
"Rumex acetosa subsp. acetosa L., 1753"
"Rumex acetosella L., 1753"
"Rumex conglomeratus Murray, 1770"
"Rumex crispus L., 1753"
"Rumex crispus var. crispus L., 1753"
"Rumex cristatus DC., 1813"
"Rumex hydrolapathum Huds., 1778"
"Rumex maritimus L., 1753"
"Rumex obtusifolius L., 1753"
"Rumex obtusifolius subsp. obtusifolius L., 1753"
"Rumex palustris Sm., 1800"
"Rumex patientia L., 1753"
"Rumex pulcher L., 1753"
"Rumex pulcher subsp. pulcher L., 1753"
"Rumex sanguineus L., 1753"
"Rumex scutatus L., 1753"
"Rumex thyrsiflorus Fingerh., 1829"
"Rumex x pratensis Mert. & W.D.J.Koch, 1826"
"Ruscus aculeatus L., 1753"
"Ruta graveolens L., 1753"
"Sagina apetala Ard., 1763"
"Sagina apetala subsp. apetala Ard., 1763"
"Sagina apetala subsp. erecta F.Herm., 1912"
"Sagina nodosa (L.) Fenzl, 1833"
"Sagina procumbens L., 1753"
"Sagina subulata (Sw.) C.Presl, 1826"
"Sagittaria latifolia Willd., 1805"
"Sagittaria sagittifolia L., 1753"
"Salix alba L., 1753"
"Salix atrocinerea Brot., 1804"
"Salix aurita L., 1753"
"Salix caprea L., 1753"
"Salix cinerea L., 1753"
"Salix fragilis L., 1753"
"Salix purpurea L., 1753"
"Salix repens L., 1753"
"Salix repens subsp. repens L., 1753"
"Salix repens var. dunensis (Rouy) P.Fourn., 1935"
"Salix triandra L., 1753"
"Salix viminalis L., 1753"
"Salvia pratensis L., 1753"
"Salvia pratensis subsp. pratensis L., 1753"
"Salvia verbenaca L., 1753"
"Sambucus ebulus L., 1753"
"Sambucus nigra L., 1753"
"Sambucus racemosa L., 1753"
"Sambucus racemosa subsp. racemosa L., 1753"
"Samolus valerandi L., 1753"
"Sanguisorba officinalis L., 1753"
"Sanicula europaea L., 1753"
"Saponaria officinalis L., 1753"
"Saxifraga granulata L., 1753"
"Saxifraga tridactylites L., 1753"
"Scabiosa canescens Waldst. & Kit., 1802"
"Scabiosa columbaria L., 1753"
"Scandix pecten-veneris L., 1753"
"Scandix pecten-veneris subsp. pecten-veneris L., 1753"
"Schedonorus arundinaceus (Schreb.) Dumort., 1824"
"Schedonorus arundinaceus subsp. arundinaceus (Schreb.) Dumort., 1824"
"Schedonorus giganteus (L.) Holub, 1998"
"Schedonorus pratensis (Huds.) P.Beauv., 1812"
"Schedonorus pratensis subsp. pratensis (Huds.) P.Beauv., 1812"
"Schoenoplectus lacustris (L.) Palla, 1888"
"Schoenoplectus supinus (L.) Palla, 1888"
"Schoenoplectus tabernaemontani (C.C.Gmel.) Palla, 1888"
"Schoenoplectus triqueter (L.) Palla, 1888"
"Schoenus nigricans L., 1753"
"Scilla bifolia L., 1753"
"Scirpus sylvaticus L., 1753"
"Scleranthus annuus L., 1753"
"Scleranthus annuus subsp. polycarpos (L.) Bonnier & Layens, 1894"
"Scleranthus perennis L., 1753"
"Scleranthus perennis subsp. perennis L., 1753"
"Scolymus hispanicus L., 1753"
"Scorzonera austriaca subsp. bupleurifolia (Pouzolz ex Timb.-Lagr. & Jeanb.) Bonnier, 1923"
"Scorzonera austriaca Willd., 1803"
"Scorzonera humilis L., 1753"
"Scorzoneroides autumnalis (L.) Moench, 1794"
"Scrophularia auriculata L., 1753"
"Scrophularia auriculata subsp. auriculata L., 1753"
"Scrophularia nodosa L., 1753"
"Scutellaria altissima L., 1753"
"Scutellaria columnae All., 1785"
"Scutellaria galericulata L., 1753"
"Scutellaria minor Huds., 1762"
"Sedum acre L., 1753"
"Sedum album L., 1753"
"Sedum cepaea L., 1753"
"Sedum dasyphyllum L., 1753"
"Sedum forsterianum Sm., 1808"
"Sedum hirsutum All., 1785"
"Sedum pentandrum (DC.) Boreau, 1849"
"Sedum rubens L., 1753"
"Sedum rupestre L., 1753"
"Sedum sexangulare L., 1753"
"Selinum carvifolia (L.) L., 1762"
"Senecio inaequidens DC., 1838"
"Senecio ovatus (G.Gaertn., B.Mey. & Scherb.) Willd., 1803"
"Senecio ovatus subsp. ovatus (G.Gaertn., B.Mey. & Scherb.) Willd., 1803"
"Senecio sylvaticus L., 1753"
"Senecio viscosus L., 1753"
"Senecio vulgaris L., 1753"
"Senecio vulgaris subsp. vulgaris L., 1753"
"Serapias lingua L., 1753"
"Serratula tinctoria L., 1753"
"Sesamoides purpurascens (L.) G.López, 1986"
"Seseli annuum L., 1753"
"Seseli annuum subsp. annuum L., 1753"
"Seseli montanum L., 1753"
"Seseli montanum subsp. montanum L., 1753"
"Sesleria caerulea (L.) Ard., 1763"
"Sesleria caerulea subsp. caerulea (L.) Ard., 1763"
"Setaria italica (L.) P.Beauv., 1812"
"Setaria italica subsp. pycnocoma (Steud.) de Wet, 1981"
"Setaria italica subsp. viridis (L.) Thell., 1912"
"Setaria pumila (Poir.) Roem. & Schult., 1817"
"Setaria verticillata (L.) P.Beauv., 1812"
"Sherardia arvensis L., 1753"
"Sibthorpia europaea L., 1753"
"Silaum silaus (L.) Schinz & Thell., 1915"
"Silene baccifera (L.) Roth, 1788"
"Silene conica L., 1753"
"Silene dioica (L.) Clairv., 1811"
"Silene gallica L., 1753"
"Silene latifolia Poir., 1789"
"Silene noctiflora L., 1753"
"Silene nutans L., 1753"
"Silene nutans subsp. nutans L., 1753"
"Silene otites (L.) Wibel, 1799"
"Silene vulgaris (Moench) Garcke, 1869"
"Silene vulgaris subsp. vulgaris (Moench) Garcke, 1869"
"Simethis mattiazzii (Vand.) G.López & Jarvis, 1984"
"Sinapis alba L., 1753"
"Sinapis arvensis L., 1753"
"Sison amomum L., 1753"
"Sison segetum L., 1753"
"Sisymbrella aspera (L.) Spach, 1838"
"Sisymbrella aspera subsp. aspera (L.) Spach, 1838"
"Sisymbrium altissimum L., 1753"
"Sisymbrium irio L., 1753"
"Sisymbrium loeselii L., 1755"
"Sisymbrium officinale (L.) Scop., 1772"
"Sisymbrium orientale L., 1756"
"Sisymbrium orientale subsp. orientale L., 1756"
"Sium latifolium L., 1753"
"Solanum dulcamara L., 1753"
"Solanum lycopersicum L., 1753"
"Solanum nigrum L., 1753"
"Solanum nigrum subsp. nigrum L., 1753"
"Solanum nigrum subsp. schultesii (Opiz) Wessely, 1961"
"Solanum physalifolium Rusby, 1895"
"Solidago canadensis L., 1753"
"Solidago gigantea Aiton, 1789"
"Solidago virgaurea L., 1753"
"Solidago virgaurea subsp. virgaurea L., 1753"
"Sonchus arvensis L., 1753"
"Sonchus arvensis subsp. arvensis L., 1753"
"Sonchus asper (L.) Hill, 1769"
"Sonchus asper subsp. asper (L.) Hill, 1769"
"Sonchus oleraceus L., 1753"
"Sonchus palustris L., 1753"
"Sorbus aria (L.) Crantz, 1763"
"Sorbus aucuparia L., 1753"
"Sorbus aucuparia subsp. aucuparia L., 1753"
"Sorbus domestica L., 1753"
"Sorbus latifolia (Lam.) Pers., 1806"
"Sorbus remensis Cornier, 2009"
"Sorbus torminalis (L.) Crantz, 1763"
"Sparganium emersum Rehmann, 1871"
"Sparganium emersum subsp. emersum Rehmann, 1871"
"Sparganium erectum L., 1753"
"Sparganium natans L., 1753"
"Spergula arvensis L., 1753"
"Spergula morisonii Boreau, 1847"
"Spergula pentandra L., 1753"
"Spergula rubra (L.) D.Dietr., 1840"
"Spergula segetalis (L.) Vill., 1789"
"Spiranthes aestivalis (Poir.) Rich., 1817"
"Spiranthes spiralis (L.) Chevall., 1827"
"Spirodela polyrhiza (L.) Schleid., 1839"
"Sporobolus indicus (L.) R.Br., 1810"
"Stachys alpina L., 1753"
"Stachys annua (L.) L., 1763"
"Stachys arvensis (L.) L., 1763"
"Stachys germanica L., 1753"
"Stachys germanica subsp. germanica L., 1753"
"Stachys palustris L., 1753"
"Stachys recta L., 1767"
"Stachys recta subsp. recta L., 1767"
"Stachys sylvatica L., 1753"
"Stellaria alsine Grimm, 1767"
"Stellaria graminea L., 1753"
"Stellaria holostea L., 1753"
"Stellaria media (L.) Vill., 1789"
"Stellaria neglecta Weihe, 1825"
"Stellaria nemorum L., 1753"
"Stellaria pallida (Dumort.) Piré, 1863"
"Stellaria palustris Ehrh. ex Hoffm., 1791"
"Stipa gallica Celak., 1883"
"Stratiotes aloides L., 1753"
"Stuckenia pectinata (L.) Börner, 1912"
"Succisa pratensis Moench, 1794"
"Symphoricarpos albus (L.) S.F.Blake, 1914"
"Symphyotrichum lanceolatum (Willd.) G.L.Nesom, 1995"
"Symphyotrichum x salignum (Willd.) G.L.Nesom, 1995"
"Symphytum officinale L., 1753"
"Symphytum officinale subsp. officinale L., 1753"
"Syringa vulgaris L., 1753"
"Tanacetum parthenium (L.) Sch.Bip., 1844"
"Tanacetum vulgare L., 1753"
"Taraxacum erythrospermum Andrz. ex Besser, 1821"
"Taraxacum officinale F.H.Wigg., 1780"
"Taraxacum palustre (Lyons) Symons, 1798"
"Taxus baccata L., 1753"
"Teesdalia nudicaulis (L.) R.Br., 1812"
"Tephroseris helenitis (L.) B.Nord., 1978"
"Tephroseris helenitis subsp. helenitis (L.) B.Nord., 1978"
Tephroseris helenitis var. helenitis
"Teucrium botrys L., 1753"
"Teucrium chamaedrys L., 1753"
"Teucrium montanum L., 1753"
"Teucrium scordium L., 1753"
"Teucrium scorodonia L., 1753"
"Thalictrum flavum L., 1753"
"Thalictrum minus L., 1753"
"Thalictrum minus subsp. saxatile Ces., 1844"
"Thelypteris palustris Schott, 1834"
"Thesium humifusum DC., 1815"
"Thesium humifusum subsp. divaricatum (Mert. & W.D.J.Koch) Bonnier & Layens, 1894"
"Thlaspi alliaceum L., 1753"
"Thlaspi arvense L., 1753"
"Thymelaea passerina (L.) Coss. & Germ., 1861"
"Thymelaea passerina subsp. passerina (L.) Coss. & Germ., 1861"
"Thymus drucei Ronniger, 1924"
"Thymus praecox Opiz, 1824"
"Thymus pulegioides L., 1753"
"Thysselinum palustre (L.) Hoffm., 1814"
"Tilia cordata Mill., 1768"
"Tilia platyphyllos Scop., 1771"
"Tordylium maximum L., 1753"
"Torilis arvensis (Huds.) Link, 1821"
"Torilis arvensis subsp. arvensis (Huds.) Link, 1821"
"Torilis japonica (Houtt.) DC., 1830"
"Torilis japonica subsp. japonica (Houtt.) DC., 1830"
"Torilis nodosa (L.) Gaertn., 1788"
"Torilis nodosa subsp. nodosa (L.) Gaertn., 1788"
"Tragopogon dubius Scop., 1772"
"Tragopogon pratensis L., 1753"
"Tragus racemosus (L.) All., 1785"
"Trapa natans L., 1753"
"Trichophorum cespitosum (L.) Hartm., 1849"
"Trichophorum cespitosum subsp. germanicum (Palla) Hegi, 1908"
"Trifolium arvense L., 1753"
"Trifolium aureum Pollich, 1777"
"Trifolium campestre Schreb., 1804"
"Trifolium dubium Sibth., 1794"
"Trifolium fragiferum L., 1753"
"Trifolium glomeratum L., 1753"
"Trifolium hybridum L., 1753"
"Trifolium medium L., 1759"
"Trifolium medium subsp. medium L., 1759"
"Trifolium micranthum Viv., 1824"
"Trifolium montanum L., 1753"
"Trifolium montanum subsp. montanum L., 1753"
"Trifolium nigrescens subsp. nigrescens Viv., 1808"
"Trifolium nigrescens Viv., 1808"
"Trifolium ochroleucon Huds., 1762"
"Trifolium ornithopodioides L., 1753"
"Trifolium patens Schreb., 1804"
"Trifolium pratense L., 1753"
"Trifolium pratense subsp. pratense L., 1753"
"Trifolium repens L., 1753"
"Trifolium rubens L., 1753"
"Trifolium scabrum L., 1753"
"Trifolium scabrum subsp. scabrum L., 1753"
"Trifolium striatum L., 1753"
"Trifolium strictum L., 1755"
"Trifolium subterraneum L., 1753"
"Trifolium subterraneum subsp. subterraneum L., 1753"
"Triglochin palustris L., 1753"
"Trinia glauca (L.) Dumort., 1827"
"Tripleurospermum inodorum (L.) Sch.Bip., 1844"
"Trisetum flavescens (L.) P.Beauv., 1812"
"Trisetum flavescens subsp. flavescens (L.) P.Beauv., 1812"
"Trocdaris verticillatum (L.) Raf., 1840"
"Tuberaria guttata (L.) Fourr., 1868"
"Tulipa sylvestris L., 1753"
"Tulipa sylvestris subsp. sylvestris L., 1753"
"Turgenia latifolia (L.) Hoffm., 1814"
"Turritis glabra L., 1753"
"Tussilago farfara L., 1753"
"Typha angustifolia L., 1753"
"Typha latifolia L., 1753"
"Ulex europaeus L., 1753"
"Ulex minor Roth, 1797"
"Ulmus glabra Huds., 1762"
"Ulmus laevis Pall., 1784"
"Ulmus minor Mill., 1768"
"Urtica dioica L., 1753"
"Urtica dioica subsp. dioica L., 1753"
"Urtica dioica subsp. galeopsifolia (Wierzb. ex Opiz) Chrtek, 1982"
"Urtica urens L., 1753"
"Utricularia australis R.Br., 1810"
"Utricularia intermedia Hayne, 1800"
"Utricularia minor L., 1753"
"Utricularia vulgaris L., 1753"
"Vaccaria hispanica (Mill.) Rauschert, 1965"
"Vaccinium myrtillus L., 1753"
"Vaccinium oxycoccos L., 1753"
"Valeriana dioica L., 1753"
"Valeriana dioica subsp. dioica L., 1753"
"Valeriana officinalis L., 1753"
"Valeriana officinalis subsp. tenuifolia (Vahl) Schübl. & G.Martens, 1834"
"Valerianella coronata (L.) DC., 1805"
"Valerianella dentata (L.) Pollich, 1776"
"Valerianella eriocarpa Desv., 1809"
"Valerianella locusta (L.) Laterr., 1821"
"Vallisneria spiralis L., 1753"
"Verbascum blattaria L., 1753"
"Verbascum densiflorum Bertol., 1810"
"Verbascum lychnitis L., 1753"
"Verbascum nigrum L., 1753"
"Verbascum nigrum subsp. nigrum L., 1753"
"Verbascum phlomoides L., 1753"
"Verbascum pulverulentum Vill., 1779"
"Verbascum thapsus L., 1753"
"Verbascum thapsus subsp. thapsus L., 1753"
"Verbascum virgatum Stokes, 1787"
"Verbena officinalis L., 1753"
"Veronica acinifolia L., 1762"
"Veronica agrestis L., 1753"
"Veronica anagallis-aquatica L., 1753"
"Veronica anagalloides Guss., 1826"
"Veronica arvensis L., 1753"
"Veronica beccabunga L., 1753"
"Veronica beccabunga subsp. beccabunga L., 1753"
"Veronica catenata Pennell, 1921"
"Veronica chamaedrys L., 1753"
"Veronica chamaedrys var. chamaedrys L., 1753"
"Veronica filiformis Sm., 1791"
"Veronica hederifolia L., 1753"
"Veronica montana L., 1755"
"Veronica officinalis L., 1753"
"Veronica orsiniana Ten., 1830"
"Veronica peregrina L., 1753"
"Veronica persica Poir., 1808"
"Veronica polita Fr., 1819"
"Veronica praecox All., 1789"
"Veronica scheereri (J.-P.Brandt) Holub, 1973"
"Veronica scutellata L., 1753"
"Veronica serpyllifolia L., 1753"
"Veronica serpyllifolia subsp. serpyllifolia L., 1753"
"Veronica spicata L., 1753"
"Veronica spicata subsp. spicata L., 1753"
"Veronica sublobata M.Fisch., 1967"
"Veronica triphyllos L., 1753"
"Veronica verna L., 1753"
"Veronica verna subsp. verna L., 1753"
"Viburnum lantana L., 1753"
"Viburnum opulus L., 1753"
"Vicia angustifolia L., 1759"
"Vicia cracca L., 1753"
"Vicia dasycarpa Ten., 1829"
"Vicia lathyroides L., 1753"
"Vicia lutea L., 1753"
"Vicia lutea subsp. lutea L., 1753"
"Vicia pannonica Crantz, 1769"
"Vicia sativa L., 1753"
"Vicia segetalis Thuill., 1799"
"Vicia sepium L., 1753"
"Vicia tenuifolia Roth, 1788"
"Vicia villosa Roth, 1793"
"Vinca minor L., 1753"
"Vincetoxicum hirundinaria Medik., 1790"
"Viola alba Besser, 1809"
"Viola arvensis Murray, 1770"
"Viola arvensis var. arvensis Murray, 1770"
"Viola canina L., 1753"
"Viola canina subsp. canina L., 1753"
"Viola elatior Fr., 1828"
"Viola hirta L., 1753"
"Viola kitaibeliana Schult., 1819"
"Viola odorata L., 1753"
"Viola palustris L., 1753"
"Viola pumila Chaix, 1785"
"Viola reichenbachiana Jord. ex Boreau, 1857"
"Viola riviniana Rchb., 1823"
"Viola rupestris F.W.Schmidt, 1791"
"Viola tricolor L., 1753"
"Viscaria vulgaris Bernh., 1800"
"Viscaria vulgaris subsp. vulgaris Bernh., 1800"
"Viscum album L., 1753"
"Viscum album subsp. album L., 1753"
"Vitis vinifera subsp. sylvestris (C.C.Gmel.) Hegi, 1925"
"Vulpia bromoides (L.) Gray, 1821"
"Vulpia ciliata Dumort., 1824"
"Vulpia ciliata subsp. ciliata Dumort., 1824"
"Vulpia membranacea (L.) Dumort., 1824"
"Vulpia myuros (L.) C.C.Gmel., 1805"
"Vulpia unilateralis (L.) Stace, 1978"
"Wahlenbergia hederacea (L.) Rchb., 1827"
"Wolffia arrhiza (L.) Horkel ex Wimm., 1857"
"x Dactylodenia lebrunii (E.G.Camus) Peitz, 1972"
"x Dactylodenia legrandiana (E.G.Camus) Peitz, 1972"
"x Dactylodenia legrandiana subsp. souppensis (E.G.Camus) Gathoye & D.Tyteca, 1994"
"Xeranthemum cylindraceum Sm., 1813"
"Zannichellia palustris L., 1753"
"Zannichellia palustris subsp. palustris L., 1753"
